ciudad,zona_termica,region,combustible_id,combustible_nombre,energia_label,unidad_comercial,precio_min_comercial,precio_max_comercial,precio_prom_comercial,divisor_conversion,unidad_base,precio_min_unidad,precio_max_unidad,precio_prom_unidad,fecha_vigencia,fuente
Antofagasta,A,2,6,electricidad,Electricidad,kWh,260.0,285.0,270.0,1.0,kWh,260.0,285.0,270.0,2026-09-01,MANUAL
Antofagasta,A,2,1,parafina,Kerosene,Litro,781.0,1248.0,1086.0,1.0,litro,781.0,1248.0,1086.0,2026-09-01,MANUAL
Antofagasta,A,2,2,gas_licuado,GLP,Cilindro 15kg,24500.0,28500.0,26500.0,15.0,kg,1633.33,1900.0,1766.67,2026-09-01,MANUAL
Calama,B,2,6,electricidad,Electricidad,kWh,270.0,295.0,282.0,1.0,kWh,270.0,295.0,282.0,2026-09-01,MANUAL
Calama,B,2,1,parafina,Kerosene,Litro,900.0,1250.0,1050.0,1.0,litro,900.0,1250.0,1050.0,2026-09-01,MANUAL
Calama,B,2,2,gas_licuado,GLP,Cilindro 15kg,25500.0,29500.0,27500.0,15.0,kg,1700.0,1966.67,1833.33,2026-09-01,MANUAL
Valparaiso,C,5,6,electricidad,Electricidad,kWh,220.0,292.0,270.0,1.0,kWh,220.0,292.0,270.0,2026-09-01,MANUAL
Valparaiso,C,5,1,parafina,Kerosene,Litro,850.0,1310.0,975.0,1.0,litro,850.0,1310.0,975.0,2026-09-01,MANUAL
Valparaiso,C,5,2,gas_licuado,GLP,Cilindro 15kg,23500.0,28000.0,25500.0,15.0,kg,1566.67,1866.67,1700.0,2026-09-01,MANUAL
Valparaiso,C,5,3,gas_natural,Gas Natural,m3,1876.0,2033.0,1954.0,1.0,m3,1876.0,2033.0,1954.0,2026-09-01,MANUAL
Santiago,D,13,6,electricidad,Electricidad,kWh,228.0,310.0,237.0,1.0,kWh,228.0,310.0,237.0,2026-09-01,MANUAL
Santiago,D,13,1,parafina,Kerosene,Litro,816.0,1281.0,1060.0,1.0,litro,816.0,1281.0,1060.0,2026-09-01,MANUAL
Santiago,D,13,2,gas_licuado,GLP,Cilindro 15kg,23000.0,30600.0,24500.0,15.0,kg,1533.33,2040.0,1633.33,2026-09-01,MANUAL
Santiago,D,13,3,gas_natural,Gas Natural,m3,884.0,2121.0,1161.0,1.0,m3,884.0,2121.0,1161.0,2026-09-01,MANUAL
Concepcion,E,8,6,electricidad,Electricidad,kWh,255.0,305.0,292.0,1.0,kWh,255.0,305.0,292.0,2026-09-01,MANUAL
Concepcion,E,8,1,parafina,Kerosene,Litro,880.0,1554.0,1054.0,1.0,litro,880.0,1554.0,1054.0,2026-09-01,MANUAL
