id_solotodo,categoria_solotodo,marca,modelo,nombre_completo,tipo,combustible,consumo_bruto,rendimiento_n,cop_calor,poder_calorifico_bruto,rango_calefaccion,precio_max_c_iva_clp,tienda_precio_max,url_tienda_precio_max,precio_oferta_tienda_max_clp,precio_min_c_iva_clp,tienda_precio_min,num_tiendas_activas,tiendas_detalle,costo_instalacion_c_iva,mantencion_c_iva,otros,url_solotodo
269451,Aire Acondicionado Portátil,Airolite,CLIMATE PRO 12.000 BTU/H WIFI,Airolite CLIMATE PRO 12.000 BTU/H WIFI,Aire Acondicionado Portátil,Electricidad,Capacidad 12000 BTU/h,-,-,12000 BTU/h,24 m2,579990,ABC,https://www.abc.cl/aire-acondicionado-portatil-airolite-climate-pro-12000-btu-wifi/27976891.html,579990,279990,Falabella Marketplace (AIROLITE),6,"Ripley: $419,990 | Falabella: $399,990 | Travel Tienda: $399,990 | Easy: $419,990 | ABC: $579,990 (+1 más)",$ 0 (Portátil / Enchufable),$ 25.000 / año (Limpieza filtros),Certificación SEC QR: 519278 | Control Wi-Fi | Enchufable 220V directo. No requiere obras ni ductos.,https://www.solotodo.cl/products/269451
269429,Aire Acondicionado Portátil,LG,LP1419IVSM,LG LP1419IVSM,Aire Acondicionado Portátil,Electricidad,Capacidad 14000 BTU/h,-,-,14000 BTU/h,No especificado,559990,Paris Marketplace (LG Electronics),https://www.paris.cl/aire-acondicionado-portatil-lg-inverter-14000-btu-MKB4AVBM66.html,559990,399990,Falabella Marketplace (LG ELECTRONICS INC CHILE LIMITADA),3,"Paris Marketplace (LG Electronics): $559,990 | Tienda Oficial LG: $399,990 | Falabella Marketplace (LG ELECTRONICS INC CHILE LIMITADA): $399,990",$ 0 (Portátil / Enchufable),$ 25.000 / año (Limpieza filtros),Control Wi-Fi | Enchufable 220V directo. No requiere obras ni ductos.,https://www.solotodo.cl/products/269429
269456,Aire Acondicionado Portátil,Splendid,SPAC-HM14K-W,Splendid SPAC-HM14K-W,Aire Acondicionado Portátil,Electricidad,Capacidad 14000 BTU/h,-,-,14000 BTU/h,27 m2,549990,Mercado Libre (RHEEM_CHILE),https://www.mercadolibre.cl/p/MLC41827934?pdp_filters=official_store:all,549990,399990,Falabella Marketplace (Rheem Chile),4,"Easy: $399,990 | Travel Tienda: $399,990 | Falabella Marketplace (Rheem Chile): $399,990 | Mercado Libre (RHEEM_CHILE): $549,990",$ 0 (Portátil / Enchufable),$ 25.000 / año (Limpieza filtros),Certificación SEC QR: 516646 | Peso: 32.0 kg | Control Wi-Fi | Enchufable 220V directo. No requiere obras ni ductos.,https://www.solotodo.cl/products/269456
280209,Aire Acondicionado Portátil,Thorben,Thor Smart Pac 4En1 Wifi 14000 BTU,Thorben Thor Smart Pac 4En1 Wifi 14000 BTU,Aire Acondicionado Portátil,Electricidad,Capacidad 14000 BTU/h,-,-,14000 BTU/h,No especificado,519990,Falabella Marketplace (Thorben Store),https://www.falabella.com/falabella-cl/product/125359009/aire-acondicionado-portatil-frio-calor-smart-pac-4-en1-wifi-14000-btu/125359010,519990,519990,Falabella Marketplace (Thorben Store),1,"Falabella Marketplace (Thorben Store): $519,990",$ 0 (Portátil / Enchufable),$ 25.000 / año (Limpieza filtros),Certificación SEC QR: 486552 | Control Wi-Fi | Enchufable 220V directo. No requiere obras ni ductos.,https://www.solotodo.cl/products/280209
269458,Aire Acondicionado Portátil,Airolite,CLIMATE PRO 9.000 BTU/H WIFI,Airolite CLIMATE PRO 9.000 BTU/H WIFI,Aire Acondicionado Portátil,Electricidad,Capacidad 9000 BTU/h,-,-,9000 BTU/h,18 m2,509990,ABC,https://www.abc.cl/aire-acondicionado-portatil-airolite-climate-pro-9000-btu-wifi/27976832.html,509990,269990,Falabella Marketplace (AIROLITE),4,"Sodimac: $291,690 | Travel Tienda: $361,990 | ABC: $509,990 | Falabella Marketplace (AIROLITE): $269,990",$ 0 (Portátil / Enchufable),$ 25.000 / año (Limpieza filtros),Certificación SEC QR: 519283 | Peso: 26.9 kg | Control Wi-Fi | Enchufable 220V directo. No requiere obras ni ductos.,https://www.solotodo.cl/products/269458
357020,Aire Acondicionado Portátil,TCL,Aire Acondicionado Portátil Frio-Calor,TCL Aire Acondicionado Portátil Frio-Calor,Aire Acondicionado Portátil,Electricidad,Capacidad 12000 BTU/h,-,2.60 (Portátil Calor),12000 BTU/h,No especificado,499990,Falabella,https://www.falabella.com/falabella-cl/product/80600247/aire-acondicionado-portatil-frio-calor-tcl-12000-btu/80600247,499990,499990,Falabella,1,"Falabella: $499,990",$ 0 (Portátil / Enchufable),$ 25.000 / año (Limpieza filtros),Enchufable 220V directo. No requiere obras ni ductos.,https://www.solotodo.cl/products/357020
269441,Aire Acondicionado Portátil,Midea,MPPD-12KHRN1W,Midea MPPD-12KHRN1W,Aire Acondicionado Portátil,Electricidad,Capacidad 12000 BTU/h,-,-,12000 BTU/h,25 m2,489990,Ripley,https://simple.ripley.cl/aire-acondicionado-portatil-midea-12000-btu-mppd-12khrn1w-friocalor-wifi-2000398201490p,449990,399990,Easy,2,"Ripley: $489,990 | Easy: $399,990",$ 0 (Portátil / Enchufable),$ 25.000 / año (Limpieza filtros),Certificación SEC QR: 478725 | Control Wi-Fi | Enchufable 220V directo. No requiere obras ni ductos.,https://www.solotodo.cl/products/269441
269443,Aire Acondicionado Portátil,Ursus Trotter,BLIZZARD 12K,Ursus Trotter BLIZZARD 12K,Aire Acondicionado Portátil,Electricidad,Capacidad 12000 BTU/h,-,-,12000 BTU/h,No especificado,479990,Hites,https://www.hites.com/aire-acondicionado-ursus-trotter-ut-blizzard-12k-wifi-12000-btu-924627001.html,479990,419990,Mercado Libre (URSUS TROTTER),3,"Hites: $479,990 | Falabella: $449,990 | Mercado Libre (URSUS TROTTER): $419,990",$ 0 (Portátil / Enchufable),$ 25.000 / año (Limpieza filtros),Certificación SEC QR: 491612 | Control Wi-Fi | Enchufable 220V directo. No requiere obras ni ductos.,https://www.solotodo.cl/products/269443
269424,Aire Acondicionado Portátil,Midea,MPPD-12KHRN1,Midea MPPD-12KHRN1,Aire Acondicionado Portátil,Electricidad,Capacidad 12000 BTU/h,-,-,12000 BTU/h,20 m2,459990,Ripley,https://simple.ripley.cl/aire-acondicionado-portatil-midea-mppd-12khrn1-12000-btu-frio-calor-2000377376249p,429990,459990,Ripley,1,"Ripley: $459,990",$ 0 (Portátil / Enchufable),$ 25.000 / año (Limpieza filtros),Certificación SEC QR: 317145 | Peso: 29.5 kg | Enchufable 220V directo. No requiere obras ni ductos.,https://www.solotodo.cl/products/269424
277735,Aire Acondicionado Portátil,TCL,TAC-09CPA/RS2,TCL TAC-09CPA/RS2,Aire Acondicionado Portátil,Electricidad,Capacidad 9000 BTU/h,-,-,9000 BTU/h,No especificado,449990,Mercado Libre (TCLELECTRONICSCHILE),https://www.mercadolibre.cl/p/MLC28875656?pdp_filters=official_store:all,449990,239990,Ripley Marketplace (TCL),5,"Falabella Marketplace (TCL): $299,990 | Mercado Libre (TCLELECTRONICSCHILE): $449,990 | Falabella: $449,990 | Paris Marketplace (TCL): $449,990 | Ripley Marketplace (TCL): $239,990",$ 0 (Portátil / Enchufable),$ 25.000 / año (Limpieza filtros),Certificación SEC QR: 481472 | Enchufable 220V directo. No requiere obras ni ductos.,https://www.solotodo.cl/products/277735
