Marca,Modelo,Tipo,Combustible,Consumo,Rendimiento,COP,Poder_Calorifico,Rango_Calefaccion,Precio_Adquisicion_IVA,Costo_Instalacion_IVA,Mantencion_IVA,Otros
Toyotomi,KS 27,Estufa Kerosene Mecha (Cámara Conv/Rad),Kerosene,"0,28 - 0,31 lt/hora",1 (100%),-,2530 Kcal/hora,40 - 60 m2,"$    129.990,00",$ 0 (Portátil / Enchufable),$ 25.000 / 2 años (Cambio mecha / mantención),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Toyotomi,ML 25,Estufa Kerosene Mecha (Cámara Conv/Rad),Kerosene,"0,24 - 0,26 lt/hora",1 (100%),-,2150 Kcal/hora,40 - 60 m2,"$    159.990,00",$ 0 (Portátil / Enchufable),$ 25.000 / 2 años (Cambio mecha / mantención),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Toyotomi,LC 27,Estufa Kerosene Láser (Electrónica),Kerosene,"0,086 - 0,264 lt/hora",1 (100%),-,2330 Kcal/hora,30 - 50 m2,"$    199.990,00",$ 0 (Portátil / Enchufable),$ 35.000 / año (Limpieza quemador y cámara),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Toyotomi,Omni 230,Estufa Kerosene Mecha (Cámara Conv/Rad),Kerosene,"0,658 lt/hora",1 (100%),-,5820 Kcal/hora,100 - 140 m2,"$    199.990,00",$ 0 (Portátil / Enchufable),$ 25.000 / 2 años (Cambio mecha / mantención),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Eninsa,Patio 40 inox. PH018,Calefactor Exterior Patio (Gas Licuado),Gas Licuado (GLP),825 gramos/hora,0.800 (80%),-,11500 watts,28 m2,"$    210.990,00",$ 0 (Portátil / Enchufable),"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Toyotomi,Omni 230SE,Estufa Kerosene Mecha (Cámara Conv/Rad),Kerosene,"0,622 lt/hora",1 (100%),-,5820 Kcal/hora,100 - 140 m2,"$    219.990,00",$ 0 (Portátil / Enchufable),$ 25.000 / 2 años (Cambio mecha / mantención),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Toyotomi,DC100,Estufa Kerosene Mecha (Cámara Conv/Rad),Kerosene,"0,41 - 0,48 lt/hora",1 (100%),-,4430 Kcal/hora,80 - 120 m2,"$    249.990,00",$ 0 (Portátil / Enchufable),$ 25.000 / 2 años (Cambio mecha / mantención),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Toyotomi,LC 42,Estufa Kerosene Láser (Electrónica),Kerosene,"0,11 - 0,406 lt/hora",1 (100%),-,3600 Kcal/hora,60 - 100 m2,"$    279.900,00",$ 0 (Portátil / Enchufable),$ 35.000 / año (Limpieza quemador y cámara),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Toyotomi,LC 30,Estufa Kerosene Láser (Electrónica),Kerosene,"0,086 - 0,291 lt/hora",1 (100%),-,2494 Kcal/hora,40 - 60 m2,"$    299.990,00",$ 0 (Portátil / Enchufable),$ 35.000 / año (Limpieza quemador y cámara),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Toyotomi,Omni 230 High Altitude,Estufa Kerosene Mecha (Cámara Conv/Rad),Kerosene,"0,658 lt/hora",1 (100%),-,5820 Kcal/hora,100 - 140 m2,"$    299.990,00",$ 0 (Portátil / Enchufable),$ 25.000 / 2 años (Cambio mecha / mantención),"Ajuste para altitud (>1500 msnm, Los Andes); Flete terrestre/marítimo a zona extrema (+10-20% en H y I)"
Toyotomi,LC 52,Estufa Kerosene Láser (Electrónica),Kerosene,"0,151 - 0,484 lt/hora",1 (100%),-,4290 Kcal/hora,80 - 120 m2,"$    329.900,00",$ 0 (Portátil / Enchufable),$ 35.000 / año (Limpieza quemador y cámara),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Toyotomi,FF 55T,Estufa Kerosene Láser Tiro Forzado,Kerosene,"0,18 - 0,623 lt/hora","0.927 (92,7%)",-,4730 Kcal/hora,80 - 120 m2,"$    849.900,00",$ 75.000,$ 35.000 / año (Limpieza quemador y cámara),Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Toyotomi,FF 55,Estufa Kerosene Láser Tiro Forzado,Kerosene,"0,18 - 0,623 lt/hora","0.927 (92,7%)",-,4730 Kcal/hora,80 - 120 m2,"$    899.990,00",$ 75.000,$ 35.000 / año (Limpieza quemador y cámara),Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Toyotomi,FF 70AQ,Estufa Kerosene Láser Tiro Forzado,Kerosene,"0,28 - 0,791 lt/hora","0.927 (92,7%)",-,6020 Kcal/hora,100 - 140 m2,"$    999.900,00",$ 75.000,$ 35.000 / año (Limpieza quemador y cámara),Sobrecosto instalador SEC en zonas extremas (+30-50% en H y I); Flete aéreo/marítimo a Punta Arenas o montaña (+15-25%)
Sindelen,EP 6000,Estufa Kerosene Radiante (Quemador Cilíndrico),Kerosene,"0,23 lt/hora",0.800 (80%),-,2030 Kcal/hora,24 - 26 m2,"$      45.990,00",$ 0 (Portátil / Enchufable),$ 25.000 / 2 años (Cambio mecha / mantención),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Sindelen,EP 6500,Estufa Kerosene Radiante (Quemador Cilíndrico),Kerosene,"0,29 lt/hora",0.800 (80%),-,2566 Kcal/hora,30 - 32 m2,"$      48.990,00",$ 0 (Portátil / Enchufable),$ 25.000 / 2 años (Cambio mecha / mantención),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Bartolini,DP 3001,Estufa Kerosene Convectiva c/Ventilador,Kerosene,"0,08 - 0,31 lt/hora",0.800 (80%),-,2700 Kcal/hora,40 - 60 m2,"$    179.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Mademsa,MFHK 540,Estufa Kerosene Convectiva c/Ventilador,Kerosene,"0,081 - 0,24 lt/hora",0.800 (80%),-,1978 Kcal/hora,30 - 50 m2,"$    221.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Corona,FH 2506,Estufa Kerosene Convectiva c/Ventilador,Kerosene,"0,08 - 0,24 lt/hora",0.800 (80%),-,2120 Kcal/hora,40 - 60 m2,"$    249.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Sumoheat,FH 1050,Estufa Kerosene Convectiva c/Ventilador,Kerosene,"0,11 - 0,49 lt/hora",0.800 (80%),-,4300 Kcal/hora,Hasta 100 m2,"$    249.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Fensa,FHK 32,Estufa Kerosene Convectiva c/Ventilador,Kerosene,"0,11 - 0,31 lt/hora",0.800 (80%),-,2754 Kcal/hora,Hasta 65 m2,"$    310.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Corona,FH 5005,Estufa Kerosene Convectiva c/Ventilador,Kerosene,"0,12 - 0,33 lt/hora",0.800 (80%),-,2960 Kcal/hora,Hasta 80 m2,"$    299.990,00",$ 0 (Portátil / Enchufable),$ 0 (Sin piezas de desgaste),Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
Fensa,FEL 1407 CP,Estufa Gas Radiante Infrarroja,Gas Licuado (GLP),122 gramos/hora (**),0.800 (80%),-,1550 watts,6 - 12 m2,"$      59.990,00",$ 0 (Portátil / Enchufable),"$ 20.000 / 2 años (Revisión regulador, manguera, inyectores)",Flete terrestre/marítimo a zona extrema (+10-20% en H y I)
